ID,Datos ECG,Segundos,Milisegundos
0,3,23,669
1,3559,23,687
2,3350,23,704
3,3210,23,721
4,3154,23,738
5,3163,23,754
6,3195,23,771
7,3238,23,789
8,3250,23,806
9,3248,23,822
10,3242,23,839
11,3212,23,856
12,3202,23,870
13,3240,23,888
14,3272,23,905
15,3260,23,925
16,3271,23,937
17,3318,23,954
18,3360,23,971
19,3327,23,987
20,3302,23,8
21,3342,23,22
22,3753,23,39
23,3292,23,54
24,3289,23,70
25,3337,23,88
26,3353,23,105
27,3394,23,121
28,3425,23,137
29,3446,23,154
30,3466,23,170
31,3508,24,188
32,3603,24,204
33,3750,24,221
34,3794,24,237
35,3729,24,254
36,3610,24,272
37,3436,24,289
38,3285,24,305
39,3252,24,320
40,3293,24,338
41,3337,24,354
42,3343,24,372
43,3353,24,387
44,3343,24,404
45,3324,24,422
46,3322,24,438
47,3322,24,454
48,3305,24,472
49,3322,24,488
50,3340,24,504
51,3346,24,522
52,3323,24,538
53,3407,24,555
54,3426,24,572
55,3336,24,587
56,3344,24,605
57,3553,24,621
58,3358,24,637
59,3524,24,654
60,3321,24,672
61,3339,24,688
62,3340,24,705
63,3355,24,721
64,3361,24,738
65,3357,24,755
66,3399,24,771
67,3464,24,789
68,3560,24,804
69,3648,24,820
70,3667,24,838
71,3573,24,855
72,3406,24,872
73,3267,24,888
74,3198,24,905
75,3198,24,921
76,3211,24,937
77,3233,24,954
78,3234,24,972
79,3237,24,987
80,3261,24,4
81,3257,24,21
82,3249,24,38
83,3247,24,55
84,3239,24,71
85,3239,24,88
86,3250,24,104
87,3254,24,120
88,3274,24,138
89,3284,24,154
90,3309,24,171
91,3325,25,187
92,3371,25,204
93,3365,25,221
94,3322,25,237
95,3323,25,255
96,3716,25,272
97,3226,25,287
98,3280,25,305
99,3333,25,321
100,3337,25,338
101,3357,25,355
102,3372,25,374
103,3382,25,388
104,3404,25,407
105,3416,25,420
106,3500,25,438
107,3624,25,456
108,3702,25,471
109,3667,25,489
110,3563,25,506
111,3393,25,522
112,3253,25,537
113,3211,25,554
114,3214,25,572
115,3222,25,589
116,3251,25,604
117,3272,25,622
118,3259,25,638
119,3265,25,656
120,3290,25,672
121,3303,25,689
122,3290,25,705
123,3303,25,722
124,3283,25,739
125,3294,25,754
126,3308,25,772
127,3331,25,790
128,3345,25,805
129,3340,25,822
130,3354,25,839
131,3358,25,857
132,3358,25,871
133,3372,25,889
134,3450,25,904
135,3476,25,922
136,3384,25,939
137,3377,25,954
138,3572,25,971
139,3444,25,987
140,3627,25,5
141,3407,25,20
142,3431,25,39
143,3452,25,54
144,3451,25,70
145,3445,25,88
146,3485,25,106
147,3536,25,121
148,3605,25,138
149,3697,25,155
150,3817,25,172
151,3826,26,188
152,3732,26,205
153,3598,26,221
154,3455,26,238
155,3341,26,254
156,3300,26,273
157,3324,26,289
158,3322,26,305
159,3365,26,322
160,3371,26,339
161,3351,26,356
162,3326,26,372
163,3330,26,387
164,3310,26,405
165,3295,26,424
166,3305,26,438
167,3320,26,455
168,3307,26,472
169,3300,26,488
170,3299,26,505
171,3284,26,522
172,3315,26,538
173,3327,26,555
174,3327,26,571
175,3320,26,589
176,3326,26,604
177,3358,26,621
178,3411,26,640
179,3382,26,654
180,3335,26,671
181,3372,26,687
182,3788,26,705
183,3479,26,722
184,3290,26,737
185,3322,26,754
186,3351,26,770
187,3374,26,788
188,3382,26,804
189,3385,26,821
190,3407,26,838
191,3454,26,855
192,3532,26,871
193,3678,26,888
194,3743,26,904
195,3696,26,920
196,3570,26,938
197,3402,26,955
198,3242,26,970
199,3198,26,987
200,3209,26,4
201,3233,26,22
202,3272,26,38
203,3265,26,54
204,3243,26,72
205,3227,26,87
206,3263,26,104
207,3245,26,121
208,3239,26,139
209,3219,26,154
210,3196,26,172
211,3073,27,188
212,3146,27,206
213,3099,27,221
214,3111,27,238
215,3123,27,255
