ID,Datos ECG,Segundos,Milisegundos
0,3411,1,334
1,3363,1,352
2,3387,1,369
3,3402,1,386
4,3420,1,402
5,3442,1,419
6,3470,1,436
7,3516,1,451
8,3606,1,469
9,3731,1,485
10,3805,1,502
11,3795,1,518
12,3676,1,534
13,3395,1,552
14,3215,1,568
15,3140,2,588
16,3119,2,602
17,3115,2,617
18,3134,2,635
19,3170,2,652
20,3189,2,669
21,3206,2,684
22,3207,2,702
23,3214,2,719
24,3187,2,736
25,3191,2,751
26,3190,2,768
27,3221,2,784
28,3226,2,801
29,3241,2,819
30,3234,2,837
31,3233,2,852
32,3233,2,870
33,3262,2,885
34,3234,2,901
35,3277,2,919
36,3345,2,937
37,3295,2,952
38,3278,2,970
39,3292,2,985
40,3757,2,2
41,3412,2,17
42,3415,2,34
43,3330,2,51
44,3307,2,69
45,3314,2,85
46,3344,2,101
47,3351,2,119
48,3384,2,136
49,3420,2,152
50,3498,2,168
51,3568,2,186
52,3695,2,202
53,3802,2,218
54,3783,2,236
55,3621,2,251
56,3345,2,267
57,3152,2,285
58,3092,2,301
59,3072,2,319
60,3081,2,334
61,3104,2,352
62,3143,2,367
63,3181,2,385
64,3194,2,402
65,3198,2,418
66,3189,2,434
67,3184,2,453
68,3187,2,469
69,3219,2,486
70,3235,2,502
71,3233,2,519
72,3231,2,535
73,3242,2,551
74,3251,2,568
75,3269,3,584
76,3275,3,603
77,3283,3,619
78,3296,3,635
79,3267,3,651
80,3324,3,668
81,3386,3,685
82,3314,3,702
83,3340,3,719
84,3535,3,736
85,3587,3,751
86,3908,3,768
87,3410,3,784
88,3350,3,802
89,3346,3,819
90,3357,3,836
91,3371,3,851
92,3388,3,869
93,3432,3,885
94,3487,3,904
95,3529,3,918
96,3624,3,934
97,3732,3,952
98,3787,3,968
99,3731,3,985
100,3552,3,1
101,3318,3,18
102,3199,3,35
103,3159,3,51
104,3162,3,69
105,3188,3,84
106,3205,3,101
107,3228,3,135
108,3233,3,152
109,3237,3,168
110,3231,3,185
111,3234,3,201
112,3230,3,219
113,3254,3,237
114,3246,3,269
115,3263,3,285
116,3272,3,301
117,3271,3,319
118,3285,3,335
119,3287,3,352
120,3285,3,385
121,3286,3,401
122,3291,3,418
123,3295,3,435
124,3297,3,451
125,3284,3,468
126,3388,3,486
127,3404,3,520
128,3303,3,534
129,3333,3,552
130,3525,3,569
131,3558,4,585
132,3889,4,602
133,3375,4,618
134,3318,4,654
135,3308,4,668
136,3324,4,685
137,3347,4,702
138,3380,4,717
139,3404,4,734
140,3453,4,767
141,3518,4,787
142,3608,4,801
143,3728,4,819
144,3767,4,836
145,3722,4,852
146,3531,4,869
147,3302,4,902
148,3186,4,918
149,3133,4,935
150,3110,4,954
151,3134,4,969
152,3156,4,985
153,3180,4,19
154,3209,4,35
155,3217,4,52
156,3214,4,69
157,3218,4,85
158,3226,4,103
159,3228,4,119
160,3237,4,153
161,3244,4,169
162,3257,4,188
163,3257,4,202
164,3263,4,219
165,3267,4,234
166,3272,4,252
167,3276,4,286
168,3274,4,303
169,3278,4,318
170,3286,4,336
171,3370,4,351
172,3399,4,369
173,3423,4,401
174,3312,4,420
175,3316,4,435
176,3736,4,452
177,3500,4,468
178,3548,4,485
179,3319,4,501
180,3281,4,535
181,3314,4,552
182,3338,4,569
183,3356,5,586
184,3389,5,602
185,3431,5,619
186,3488,5,652
187,3554,5,668
188,3682,5,685
189,3778,5,701
190,3782,5,719
191,3690,5,736
192,3449,5,751
193,3250,5,785
194,3189,5,803
195,3148,5,819
196,3158,5,835
197,3182,5,853
198,3201,5,869
199,3230,5,885
200,3231,5,918
201,3237,5,936
202,3245,5,953
203,3240,5,968
204,3246,5,986
205,3249,5,1
206,3253,5,19
207,3284,5,51
208,3284,5,69
209,3293,5,85
210,3296,5,104
211,3302,5,119
212,3299,5,135
213,3325,5,168
214,3306,5,187
215,3315,5,201
216,3350,5,218
217,3397,5,234
218,3430,5,251
219,3357,5,268
220,3319,5,301
221,3542,5,318
222,3500,5,334
223,3791,5,352
224,3407,5,368
225,3312,5,385
226,3326,5,418
227,3348,5,436
228,3368,5,451
229,3387,5,468
230,3415,5,487
231,3457,5,502
232,3527,5,517
233,3633,5,552
234,3757,5,567
235,3812,6,584
236,3748,6,601
237,3503,6,618
238,3230,6,634
239,3103,6,668
240,3074,6,684
241,3062,6,701
242,3096,6,718
243,3114,6,735
244,3138,6,751
245,3160,6,768
246,3167,6,786
247,3169,6,818
248,3180,6,835
249,3166,6,851
250,3168,6,868
251,3176,6,885
252,3187,6,902
253,3184,6,935
254,3185,6,951
255,3209,6,968
256,3226,6,985
257,3217,6,3
258,3231,6,18
259,3260,6,35
260,3276,6,68
261,3331,6,84
262,3383,6,101
263,3375,6,118
264,3273,6,136
265,3320,6,153
266,3808,6,170
267,3615,6,203
268,3433,6,219
269,3299,6,235
270,3288,6,252
271,3291,6,268
272,3324,6,303
273,3344,6,318
274,3366,6,334
275,3424,6,351
276,3454,6,368
277,3535,6,384
278,3644,6,401
279,3729,6,435
280,3729,6,452
281,3615,6,469
282,3357,6,485
283,3185,6,503
284,3116,6,518
285,3115,6,535
286,3118,6,568
287,3155,7,585
288,3189,7,602
289,3197,7,619
290,3220,7,636
291,3212,7,652
292,3220,7,669
293,3213,7,702
294,3227,7,719
295,3240,7,735
296,3239,7,752
297,3255,7,770
298,3273,7,787
299,3294,7,818
300,3290,7,835
301,3304,7,853
302,3298,7,868
303,3311,7,887
304,3309,7,901
305,3344,7,918
306,3382,7,952
307,3449,7,968
308,3364,7,984
309,3330,7,1
310,3557,7,18
311,3553,7,35
312,3866,7,68
313,3382,7,86
314,3313,7,103
315,3327,7,118
316,3349,7,136
317,3359,7,151
318,3380,7,169
319,3418,7,203
320,3464,7,220
321,3532,7,236
322,3628,7,253
323,3751,7,269
324,3785,7,286
325,3726,7,303
326,3504,7,335
327,3291,7,352
328,3179,7,369
329,3139,7,386
330,3138,7,402
331,3153,7,420
332,3184,7,451
333,3211,7,468
334,3221,7,487
335,3246,7,503
336,3240,7,518
337,3235,7,536
338,3242,7,551
339,3236,7,569
340,3251,8,602
341,3261,8,618
342,3263,8,634
343,3273,8,652
344,3277,8,669
345,3280,8,686
346,3293,8,721
347,3298,8,735
348,3295,8,753
349,3322,8,769
350,3409,8,785
351,3448,8,802
352,3374,8,835
353,3305,8,852
354,3456,8,869
355,3729,8,885
356,3881,8,903
357,3416,8,919
358,3281,8,935
359,3298,8,968
360,3310,8,986
361,3342,8,1
362,3371,8,19
363,3406,8,37
364,3441,8,53
365,3489,8,85
366,3587,8,103
367,3707,8,120
368,3768,8,135
369,3740,8,152
370,3562,8,168
371,3305,8,186
372,3169,8,218
373,3141,8,234
374,3142,8,252
375,3155,8,270
376,3169,8,285
377,3209,8,301
378,3224,8,319
379,3224,8,353
380,3235,8,368
381,3229,8,386
382,3238,8,403
383,3247,8,420
384,3246,8,436
385,3264,8,469
386,3260,8,485
387,3274,8,501
388,3293,8,518
389,3300,8,535
390,3305,8,552
391,3307,8,568
392,3321,9,601
393,3349,9,619
394,3385,9,635
395,3422,9,653
396,3462,9,668
397,3360,9,686
398,3343,9,702
399,3679,9,735
400,3462,9,752
401,3655,9,768
402,3399,9,786
403,3337,9,802
404,3341,9,818
405,3380,9,837
406,3397,9,869
407,3412,9,886
408,3435,9,902
409,3493,9,919
410,3569,9,935
411,3671,9,953
412,3791,9,985
413,3820,9,2
414,3725,9,19
415,3471,9,36
416,3243,9,54
417,3143,9,68
418,3107,9,86
419,3129,9,118
420,3154,9,136
421,3173,9,153
422,3199,9,168
423,3196,9,185
424,3203,9,201
425,3212,9,219
426,3210,9,252
427,3206,9,271
428,3209,9,285
429,3212,9,302
430,3220,9,319
431,3216,9,336
432,3227,9,353
433,3253,9,386
434,3247,9,402
435,3258,9,418
436,3257,9,436
437,3337,9,452
438,3351,9,470
439,3363,9,501
440,3248,9,520
441,3262,9,535
442,3646,9,552
443,3276,9,568
444,3410,10,586
445,3292,10,619
446,3260,10,636
447,3270,10,653
448,3295,10,670
449,3323,10,685
450,3337,10,703
451,3386,10,718
452,3444,10,752
453,3524,10,768
454,3649,10,786
455,3749,10,802
456,3767,10,819
457,3637,10,837
458,3361,10,853
459,3159,10,885
460,3081,10,903
461,3070,10,919
462,3066,10,937
463,3101,10,952
464,3135,10,968
465,3181,10,2
466,3196,10,19
467,3192,10,35
468,3200,10,52
469,3201,10,68
470,3208,10,85
471,3214,10,102
472,3218,10,138
473,3240,10,151
474,3246,10,169
475,3249,10,186
476,3256,10,202
477,3262,10,219
478,3275,10,235
479,3262,10,268
480,3277,10,285
481,3366,10,302
482,3367,10,318
483,3409,10,334
484,3299,10,352
485,3297,10,384
486,3705,10,402
487,3480,10,420
488,3537,10,435
489,3313,10,452
490,3276,10,468
491,3304,10,485
492,3334,10,519
493,3354,10,535
494,3378,10,553
495,3425,10,569
496,3473,11,585
