ID,Datos ECG,Segundos,Milisegundos
308,3264,46,947
309,3299,46,964
310,3328,46,980
311,3337,46,996
312,3417,46,13
313,3452,46,30
314,3576,46,47
315,3633,46,65
316,3647,46,96
317,3459,46,114
318,3290,46,130
319,3226,46,147
320,3209,46,164
321,3197,46,180
322,3207,46,196
323,3193,46,214
324,3215,46,230
325,3209,46,247
326,3223,46,264
327,3220,46,279
328,3236,46,297
329,3236,46,313
330,3252,46,330
331,3286,46,348
332,3269,46,381
333,3289,46,398
334,3337,47,413
335,3367,47,430
336,3405,47,448
337,3362,47,463
338,3260,47,481
339,3280,47,497
340,3248,47,513
341,3276,47,529
342,3055,47,548
343,4095,47,565
344,3804,47,580
345,3253,47,597
346,3278,47,615
347,3227,47,649
348,3266,47,664
349,3279,47,681
350,3315,47,698
351,3350,47,715
352,3383,47,730
353,3440,47,747
354,3519,47,763
355,3603,47,781
356,3622,47,797
357,3539,47,814
358,3365,47,830
359,3233,47,847
360,3205,47,864
361,3189,47,898
362,3209,47,914
363,3221,47,930
364,3210,47,947
365,3223,47,964
366,3214,47,981
367,3208,47,998
368,3210,47,14
369,3218,47,31
370,3216,47,47
371,3215,47,63
372,3230,47,81
373,3233,47,97
374,3256,47,115
375,3291,47,149
376,3353,47,163
377,3411,47,180
378,3341,47,197
379,3273,47,215
380,3270,47,231
381,3277,47,249
382,3277,47,263
383,3054,47,280
384,4095,47,297
385,3894,47,313
386,3223,47,331
387,3246,47,347
388,3237,47,364
389,3250,47,381
390,3295,48,413
391,3307,48,430
392,3365,48,448
393,3426,48,464
394,3476,48,480
395,3543,48,498
396,3625,48,514
397,3640,48,530
398,3580,48,547
399,3376,48,564
400,3248,48,580
401,3203,48,596
402,3197,48,613
403,3203,48,630
404,3220,48,648
405,3243,48,665
406,3255,48,696
407,3274,48,715
408,3270,48,731
409,3262,48,748
410,3271,48,763
411,3256,48,781
412,3260,48,799
413,3243,48,814
414,3199,48,831
415,3288,48,846
416,3259,48,863
417,3295,48,881
418,3336,48,898
419,3372,48,915
420,3337,48,946
421,3295,48,963
422,3283,48,981
423,3260,48,999
424,3203,48,14
425,3418,48,31
426,4095,48,48
427,3192,48,63
428,3175,48,81
429,3300,48,98
430,3279,48,113
431,3289,48,131
432,3340,48,148
433,3347,48,164
434,3387,48,198
435,3447,48,216
436,3519,48,230
437,3597,48,248
438,3631,48,264
439,3605,48,280
440,3455,48,297
441,3278,48,314
442,3216,48,330
443,3143,48,347
