ID,Datos ECG,Segundos,Milisegundos
0,,16,436
1,1926,16,452
2,1921,16,471
3,1923,16,486
4,1924,16,503
5,1921,16,521
6,1925,16,536
7,1923ÿets Jun  8 2016 00:22:57,16,555
8,,16,571
9,rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT),16,586
10,configsip: 0, SPIWP:0xee,16,607
11,clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00,16,619
12,mode:DIO, clock div:1,16,638
13,load:0x3fff0030,len:1344,16,654
14,load:0x40078000,len:13964,16,670
15,load:0x40080400,len:3600,16,691
16,entry 0x400805f0,16,703
17,1985,16,720
18,1983,16,738
19,1984,16,754
20,1985,16,769
21,1980,16,787
22,1979,17,804
23,1977,17,820
24,1970,17,839
25,1967,17,853
26,1970,17,870
27,1965,17,887
28,1949,17,904
29,1958,17,920
30,1961,17,938
31,1961,17,953
32,1959,17,971
33,1954,17,987
34,1939,17,4
35,1950,17,20
36,1943,17,37
37,1945,17,53
38,1946,17,69
39,1944,17,86
40,1946,17,104
41,1941,17,120
42,1938,17,139
43,1936,17,153
44,1938,17,171
45,1936,17,187
46,1910,17,203
47,1905,17,219
48,1906,17,239
49,1904,17,253
50,1904,17,271
51,1903,17,286
52,1899,17,304
53,1901,17,322
54,1903,17,339
55,1904,17,354
56,1872,17,372
57,1894,17,387
58,1893,17,403
59,1889,17,422
60,1890,17,437
61,1888,17,452
62,1886,17,471
63,1872,17,486
64,1882,17,503
65,1881,17,519
66,1884,17,537
67,1876,17,553
68,1875,17,570
69,1874,17,588
70,1874,17,604
71,1878,17,619
72,1850,17,638
73,1849,17,652
74,1846,17,669
75,1857,17,686
76,1854,17,704
77,1852,17,722
78,1849,17,738
79,1854,17,753
80,1851,17,771
81,1846,17,786
82,1854,18,803
83,1847,18,822
84,1851,18,836
85,1847,18,853
86,1849,18,871
87,1843,18,887
88,1849,18,904
89,1845,18,920
90,1847,18,936
91,1849,18,953
92,1854,18,973
93,1845,18,987
94,1845,18,3
95,1840,18,20
96,1842,18,38
97,1846,18,55
98,1872,18,69
99,1873,18,87
100,1871,18,103
101,1872,18,122
102,1872,18,136
103,1875,18,153
104,1873,18,171
105,1874,18,186
106,1877,18,204
107,1877,18,221
108,1873,18,238
109,1874,18,254
110,1875,18,269
111,1877,18,287
112,1874,18,304
113,1876,18,321
114,1876,18,336
115,1877,18,354
116,1879,18,370
117,1873,18,386
118,1879,18,403
119,1882,18,419
120,1883,18,438
121,1878,18,453
122,1883,18,471
123,1878,18,490
124,1876,18,504
125,1845,18,519
126,1849,18,537
127,1819,18,552
128,1843,18,571
129,1845,18,588
130,1869,18,603
131,1848,18,621
132,1847,18,636
133,1845,18,653
134,1845,18,670
135,1847,18,688
136,1850,18,704
137,1845,18,719
138,1841,18,739
139,1849,18,752
140,1845,18,770
141,1847,18,787
142,1850,19,802
143,1846,19,819
144,1845,19,838
145,1851,19,852
146,1847,19,871
147,1848,19,887
148,1850,19,904
149,1850,19,921
150,1847,19,936
151,1831,19,953
152,1834,19,971
153,1838,19,988
154,1837,19,4
155,1839,19,21
156,1835,19,37
157,1833,19,54
158,1833,19,70
159,1835,19,87
160,1836,19,104
161,1830,19,120
162,1833,19,136
163,1837,19,153
164,1833,19,170
165,1837,19,186
166,1835,19,204
167,1834,19,221
168,1831,19,238
169,1834,19,252
170,1831,19,270
171,1834,19,287
172,1838,19,304
173,1831,19,319
174,1837,19,337
175,1834,19,354
176,1829,19,370
177,1881,19,386
178,1873,19,404
179,1872,19,419
180,1874,19,437
181,1884,19,455
182,1874,19,471
183,1872,19,486
184,1874,19,504
185,1873,19,521
186,1872,19,536
187,1872,19,555
188,1872,19,570
189,1867,19,588
190,1872,19,603
191,1871,19,621
192,1872,19,636
193,1870,19,654
194,1872,19,669
195,1869,19,686
196,1865,19,702
197,1868,19,719
198,1869,19,739
199,1867,19,754
200,1862,19,770
201,1861,19,787
202,1867,20,805
203,1890,20,821
204,1891,20,839
205,1885,20,854
206,1889,20,871
207,1889,20,887
208,1892,20,904
209,1891,20,921
210,1891,20,936
211,1894,20,953
212,1891,20,973
213,1893,20,988
214,1888,20,2
215,1888,20,20
216,1889,20,37
217,1888,20,54
218,1885,20,70
219,1887,20,87
220,1890,20,104
221,1887,20,120
222,1884,20,136
223,1885,20,154
224,1882,20,170
225,1885,20,187
226,1883,20,204
227,1882,20,220
228,1882,20,238
229,1875,20,254
230,1875,20,271
231,1875,20,288
232,1874,20,304
233,1876,20,320
234,1872,20,337
235,1875,20,354
236,1872,20,372
237,1877,20,388
238,1879,20,403
239,1874,20,421
240,1882,20,437
241,1874,20,453
242,1882,20,470
243,1879,20,486
244,1881,20,503
245,1909,20,520
246,1883,20,538
247,1873,20,554
248,1886,20,571
249,1879,20,587
250,1883,20,603
251,1883,20,620
252,1883,20,638
253,1882,20,654
254,1888,20,669
255,1888,20,687
256,1890,20,703
257,1890,20,721
258,1890,20,737
259,1898,20,754
260,1895,20,770
261,1902,20,786
262,1899,21,804
263,1899,21,820
264,1886,21,839
265,1898,21,854
266,1902,21,870
267,1902,21,888
268,1901,21,904
269,1901,21,920
270,1901,21,938
271,1904,21,956
272,1904,21,971
273,1904,21,987
274,1904,21,4
275,1906,21,21
276,1904,21,37
277,1905,21,55
278,1905,21,70
279,1907,21,87
280,1909,21,105
281,1904,21,121
282,1900,21,136
283,1902,21,153
284,1904,21,169
285,1898,21,186
286,1901,21,202
287,1895,21,221
288,1898,21,237
289,1898,21,253
290,1901,21,271
291,1896,21,286
292,1899,21,306
293,1902,21,320
294,1895,21,338
295,1894,21,354
296,1898,21,371
297,1901,21,389
298,1901,21,404
299,1899,21,420
300,1903,21,437
301,1901,21,453
302,1903,21,472
303,1904,21,486
304,1901,21,504
305,1902,21,521
306,1905,21,538
307,1904,21,555
308,1898,21,571
309,1901,21,587
310,1898,21,604
311,1899,21,621
312,1901,21,638
313,1895,21,655
314,1899,21,671
315,1898,21,689
316,1894,21,703
317,1893,21,720
318,1892,21,737
319,1895,21,754
320,1894,21,770
321,1891,21,786
322,1891,22,803
