ID,Datos ECG,Segundos,Milisegundos
0,3,22,499
1,3172,22,514
2,3199,22,533
3,3250,22,549
4,3295,22,565
5,3352,22,583
6,3415,22,599
7,3499,22,616
8,3619,22,633
9,3671,22,650
10,3695,22,665
11,3539,22,683
12,3359,22,700
13,3261,22,715
14,3250,22,732
15,3245,22,753
16,3251,22,765
17,3252,22,782
18,3278,22,800
19,3291,22,815
20,3312,22,832
21,3323,22,851
22,3312,22,865
23,3313,22,884
24,3301,22,900
25,3297,22,915
26,3308,22,932
27,3305,22,948
28,3308,22,966
29,3309,22,984
30,3319,22,999
31,3326,22,16
32,3342,22,33
33,3409,22,50
34,3464,22,68
35,3416,22,82
36,3331,22,101
37,3327,22,118
38,3330,22,133
39,3303,22,149
40,3070,22,165
41,4095,22,183
42,3452,22,199
43,3284,22,215
44,3228,22,232
45,3222,22,249
46,3281,22,265
47,3265,22,282
48,3297,22,301
49,3313,22,316
50,3438,22,332
51,3474,22,349
52,3545,22,367
53,3638,22,383
54,3685,22,399
55,3570,23,415
56,3400,23,433
57,3245,23,449
58,3213,23,466
59,3239,23,482
60,3219,23,500
61,3197,23,516
62,3237,23,532
63,3280,23,549
64,3294,23,566
65,3293,23,583
66,3278,23,600
67,3287,23,616
68,3262,23,634
69,3297,23,650
70,3236,23,666
71,3287,23,682
72,3267,23,699
73,3286,23,716
74,3312,23,733
75,3381,23,751
76,3404,23,765
77,3344,23,782
78,3333,23,799
79,3322,23,817
80,3280,23,833
81,3234,23,849
82,3799,23,866
83,4095,23,883
84,3225,23,899
85,3261,23,916
86,3229,23,933
87,3237,23,951
88,3264,23,966
89,3276,23,982
90,3313,23,0
91,3364,23,16
92,3433,23,33
93,3518,23,49
94,3591,23,66
95,3628,23,83
96,3612,23,99
97,3426,23,116
98,3260,23,132
99,3159,23,149
100,3141,23,166
101,3156,23,183
102,3155,23,199
103,3158,23,217
104,3193,23,233
105,3203,23,250
106,3211,23,266
107,3227,23,282
108,3242,23,300
109,3256,23,315
110,3239,23,335
111,3249,23,349
112,3257,23,365
113,3263,23,383
114,3268,23,399
115,3303,24,417
116,3381,24,432
117,3376,24,450
118,3255,24,465
119,3260,24,482
120,3268,24,500
121,3261,24,516
122,3061,24,532
123,4095,24,549
124,4095,24,565
125,3237,24,582
126,3219,24,600
127,3198,24,616
128,3218,24,633
129,3228,24,650
130,3259,24,667
131,3313,24,684
132,3357,24,700
133,3437,24,716
134,3530,24,733
135,3622,24,751
136,3655,24,767
137,3603,24,783
138,3426,24,800
139,3262,24,817
140,3210,24,834
141,3187,24,849
142,3181,24,866
143,3196,24,883
144,3198,24,901
145,3196,24,915
146,3207,24,934
147,3210,24,950
148,3242,24,966
149,3237,24,982
150,3251,24,999
151,3261,24,16
152,3270,24,32
153,3276,24,49
154,3275,24,66
155,3311,24,83
156,3368,24,100
157,3398,24,116
158,3349,24,133
159,3245,24,149
160,3258,24,166
161,3256,24,183
162,3276,24,199
163,3015,24,215
164,4095,24,232
165,3643,24,249
166,3265,24,267
167,3227,24,282
168,3236,24,299
169,3255,24,316
170,3251,24,332
171,3284,24,348
172,3310,24,367
173,3356,24,383
174,3427,24,399
175,3519,25,415
176,3602,25,432
177,3638,25,449
178,3565,25,467
179,3383,25,482
180,3266,25,499
181,3225,25,516
182,3197,25,532
183,3199,25,549
184,3208,25,566
185,3202,25,582
186,3215,25,600
187,3218,25,617
188,3223,25,633
189,3201,25,649
190,3212,25,666
191,3232,25,682
192,3227,25,699
193,3234,25,716
194,3264,25,733
195,3302,25,749
196,3371,25,765
197,3363,25,784
198,3273,25,800
199,3266,25,816
200,3256,25,832
201,3251,25,849
202,3136,25,866
203,3818,25,883
204,4095,25,900
205,3186,25,915
206,3235,25,934
207,3216,25,948
208,3232,25,965
209,3261,25,982
210,3294,25,0
211,3320,25,16
212,3375,25,33
213,3422,25,51
214,3523,25,67
215,3596,25,83
216,3642,25,99
217,3608,25,115
218,3443,25,132
219,3261,25,150
220,3205,25,166
221,3184,25,184
222,3203,25,199
223,3203,25,217
224,3211,25,233
225,3236,25,250
226,3256,25,267
227,3256,25,284
228,3260,25,299
229,3267,25,316
230,3265,25,333
231,3238,25,348
232,3244,25,367
233,3253,25,383
234,3278,25,399
235,3365,26,416
236,3410,26,434
237,3328,26,449
238,3279,26,467
239,3286,26,483
240,3289,26,501
241,3286,26,516
242,3056,26,533
243,4095,26,550
244,3428,26,568
245,3275,26,584
246,3213,26,599
247,3224,26,616
248,3233,26,632
249,3249,26,648
250,3298,26,665
251,3346,26,682
252,3401,26,699
253,3483,26,715
254,3577,26,733
255,3633,26,750
256,3659,26,767
257,3564,26,783
258,3360,26,800
259,3234,26,817
260,3194,26,834
261,3181,26,851
262,3182,26,866
263,3182,26,883
264,3201,26,901
265,3196,26,917
266,3222,26,934
267,3220,26,953
268,3214,26,966
269,3237,26,982
270,3242,26,0
271,3241,26,17
272,3238,26,33
273,3232,26,50
274,3261,26,66
275,3338,26,84
276,3393,26,101
277,3325,26,116
278,3266,26,135
279,3263,26,150
280,3282,26,167
281,3292,26,184
282,3035,26,199
283,4095,26,216
284,3427,26,233
285,3300,26,250
286,3215,26,267
287,3239,26,285
288,3247,26,301
289,3266,26,315
290,3260,26,333
291,3354,26,349
292,3382,26,366
293,3437,26,382
294,3549,26,399
295,3604,27,416
296,3640,27,432
297,3534,27,449
298,3344,27,465
299,3241,27,482
300,3160,27,499
301,3212,27,516
302,3173,27,533
303,3201,27,549
304,3202,27,567
305,3198,27,582
306,3220,27,599
307,3221,27,615
308,3243,27,632
309,3224,27,648
310,3240,27,666
311,3235,27,684
312,3268,27,699
313,3308,27,715
314,3376,27,732
315,3375,27,748
316,3268,27,765
317,3272,27,783
318,3250,27,798
319,3244,27,816
320,3224,27,832
321,3327,27,849
322,4095,27,866
323,3165,27,882
324,3193,27,899
325,3210,27,916
326,3243,27,934
327,3260,27,950
328,3291,27,966
329,3340,27,984
330,3356,27,999
331,3433,27,16
332,3509,27,35
333,3579,27,50
334,3631,27,65
335,3612,27,83
336,3486,27,100
337,3317,27,117
338,3227,27,132
