ID,Datos ECG,Segundos,Milisegundos
0,247,53,527
1,3180,53,544
2,3195,53,561
3,3176,53,578
4,3183,53,593
5,3196,53,610
6,3205,53,627
7,3234,53,644
8,3235,53,662
9,3239,53,677
10,3247,53,694
11,3240,53,710
12,3237,53,728
13,3236,53,745
14,3257,53,761
15,3277,53,782
16,3377,53,794
17,3358,53,810
18,3260,53,828
19,3245,53,843
20,3278,53,862
21,3277,53,877
22,3249,53,894
23,3319,53,910
24,4095,53,927
25,3315,53,943
26,3234,53,961
27,3196,53,977
28,3190,53,995
29,3231,53,11
30,3256,53,28
31,3270,53,44
32,3309,53,62
33,3375,53,78
34,3459,53,95
35,3556,53,111
36,3625,53,127
37,3612,53,143
38,3463,53,163
39,3278,53,177
40,3192,53,195
41,3163,53,211
42,3157,53,227
43,3174,53,244
44,3182,53,262
45,3175,53,276
46,3204,53,294
47,3224,53,311
48,3223,53,327
49,3231,53,343
50,3231,53,360
51,3236,53,377
52,3237,54,395
53,3246,54,410
54,3263,54,427
55,3247,54,446
56,3267,54,460
57,3282,54,478
58,3362,54,494
59,3402,54,513
60,3369,54,538
61,3273,54,544
62,3289,54,562
63,3297,54,577
64,3311,54,593
65,3146,54,612
66,4095,54,627
67,4095,54,643
68,3307,54,661
69,3264,54,677
70,3231,54,693
71,3227,54,710
72,3265,54,728
73,3297,54,743
74,3324,54,760
75,3349,54,778
76,3430,54,793
77,3534,54,810
78,3631,54,827
79,3694,54,844
80,3671,54,860
81,3468,54,877
82,3292,54,894
83,3218,54,910
84,3208,54,926
85,3201,54,944
86,3219,54,961
87,3186,54,976
88,3208,54,993
89,3207,54,10
90,3224,54,26
91,3225,54,43
92,3225,54,61
93,3215,54,77
94,3237,54,94
95,3244,54,110
96,3258,54,127
97,3261,54,143
98,3279,54,160
99,3269,54,176
100,3258,54,193
101,3270,54,210
102,3304,54,227
103,3384,54,245
104,3376,54,263
105,3281,54,278
106,3284,54,296
107,3275,54,310
108,3282,54,326
109,3245,54,343
110,3516,54,360
111,4095,54,376
112,3295,54,393
113,3244,55,410
114,3182,55,426
115,3200,55,444
116,3225,55,460
117,3236,55,476
118,3282,55,493
119,3323,55,510
120,3383,55,528
121,3476,55,544
122,3590,55,561
123,3648,55,577
124,3656,55,595
125,3500,55,612
126,3327,55,628
127,3229,55,645
128,3185,55,660
129,3179,55,677
130,3198,55,693
131,3177,55,709
132,3198,55,727
133,3218,55,743
134,3227,55,761
135,3263,55,777
136,3228,55,793
137,3243,55,813
138,3250,55,827
139,3260,55,843
140,3261,55,860
141,3271,55,877
142,3272,55,894
143,3273,55,910
144,3284,55,927
145,3286,55,944
146,3295,55,960
147,3309,55,977
148,3408,55,993
149,3401,55,10
150,3311,55,27
151,3299,55,44
152,3294,55,60
153,3293,55,76
154,3223,55,94
155,3569,55,110
156,4095,55,127
157,3285,55,143
158,3251,55,160
159,3219,55,178
160,3216,55,193
161,3258,55,210
162,3270,55,227
163,3316,55,243
164,3372,55,261
165,3410,55,277
166,3538,55,293
167,3588,55,310
168,3665,55,328
169,3675,55,343
170,3523,55,360
171,3339,55,377
172,3244,55,393
173,3180,56,410
174,3204,56,428
175,3203,56,444
176,3215,56,460
177,3233,56,477
178,3219,56,495
179,3252,56,512
180,3242,56,528
181,3261,56,543
182,3246,56,561
183,3234,56,578
184,3254,56,594
185,3238,56,613
186,3233,56,628
187,3239,56,645
188,3252,56,660
189,3297,56,677
190,3381,56,694
191,3381,56,711
192,3305,56,731
193,3299,56,744
194,3286,56,760
195,3289,56,779
196,3281,56,794
197,3372,56,812
198,4095,56,827
199,3256,56,844
200,3329,56,861
201,3275,56,877
202,3266,56,894
203,3274,56,911
204,3305,56,927
205,3350,56,944
206,3392,56,962
207,3436,56,978
208,3529,56,995
209,3612,56,11
210,3668,56,28
211,3674,56,44
212,3509,56,60
213,3326,56,77
214,3224,56,95
215,3216,56,113
216,3211,56,128
217,3190,56,143
218,3195,56,160
219,3208,56,177
220,3235,56,194
221,3244,56,210
222,3254,56,227
223,3269,56,244
224,3273,56,260
225,3273,56,278
226,3292,56,293
227,3278,56,310
228,3281,56,329
229,3284,56,344
230,3306,56,361
231,3380,56,377
232,3406,56,394
233,3320,57,411
234,3241,57,427
235,3253,57,445
236,3265,57,460
