ID,Datos ECG,Segundos,Milisegundos
0,3,3,381
1,3244,4,397
2,3247,4,414
3,3236,4,430
4,3246,4,446
5,3259,4,463
6,3272,4,483
7,3297,4,496
8,3286,4,513
9,3288,4,532
10,3294,4,548
11,3296,4,566
12,3320,4,580
13,3332,4,597
14,3318,4,617
15,3356,4,630
16,3416,4,647
17,3383,4,664
18,3355,4,680
19,3402,4,696
20,3885,4,713
21,3742,4,731
22,3467,4,747
23,3389,4,765
24,3383,4,780
25,3409,4,797
26,3427,4,816
27,3465,4,830
28,3503,4,847
29,3500,4,863
30,3621,4,880
31,3653,4,897
32,3745,4,914
33,3839,4,930
34,3832,4,946
35,3681,4,964
36,3368,4,980
37,3192,4,997
38,3134,4,13
39,3126,4,30
40,3148,4,47
41,3196,4,64
42,3192,4,80
43,3220,4,98
44,3180,4,114
45,3201,4,131
46,3213,4,147
47,3211,4,164
48,3205,4,180
49,3208,4,197
50,3200,4,214
51,3206,4,232
52,3198,4,248
53,3213,4,264
54,3215,4,281
55,3209,4,299
56,3193,4,315
57,3198,4,330
58,3282,4,347
59,3279,4,364
60,3231,4,380
61,3261,5,397
62,3644,5,413
63,3311,5,429
64,3430,5,449
65,3289,5,465
66,3269,5,482
67,3289,5,496
68,3306,5,513
69,3324,5,530
70,3344,5,547
71,3391,5,563
72,3455,5,580
73,3539,5,597
74,3651,5,614
75,3743,5,630
76,3736,5,648
77,3612,5,663
78,3347,5,680
79,3150,5,697
80,3078,5,714
81,3081,5,730
82,3072,5,746
83,3117,5,763
84,3125,5,780
85,3187,5,797
86,3190,5,814
87,3208,5,830
88,3203,5,847
89,3240,5,864
90,3228,5,881
91,3221,5,897
92,3240,5,914
93,3255,5,931
94,3276,5,948
95,3296,5,963
96,3314,5,980
97,3299,5,997
98,3322,5,14
99,3330,5,30
100,3343,5,48
101,3325,5,63
102,3437,5,81
103,3404,5,97
104,3368,5,115
105,3388,5,131
106,3878,5,147
107,3745,5,164
108,3449,5,179
109,3388,5,197
110,3358,5,214
111,3372,5,231
112,3418,5,248
113,3430,5,265
114,3453,5,280
115,3481,5,298
116,3538,5,313
117,3597,5,331
118,3704,5,348
119,3800,5,365
120,3781,5,381
121,3653,6,397
122,3379,6,415
123,3199,6,432
124,3152,6,447
125,3146,6,464
126,3153,6,481
127,3224,6,498
128,3224,6,514
129,3239,6,530
130,3256,6,547
131,3238,6,565
132,3237,6,582
133,3258,6,598
134,3263,6,614
135,3277,6,630
136,3277,6,648
137,3273,6,664
138,3298,6,680
139,3312,6,697
140,3336,6,713
141,3341,6,730
142,3342,6,748
143,3324,6,763
144,3335,6,781
145,3419,6,796
146,3401,6,813
147,3374,6,831
148,3364,6,863
149,3758,6,881
150,3541,6,899
151,3579,6,913
152,3385,6,930
153,3392,6,948
154,3402,6,963
155,3423,6,982
156,3438,6,15
157,3470,6,31
158,3513,6,47
159,3539,6,64
160,3652,6,81
161,3745,6,97
162,3842,6,130
163,3833,6,147
164,3709,6,163
165,3449,6,180
166,3235,6,197
167,3153,6,215
168,3112,6,231
169,3111,6,263
170,3140,6,281
171,3135,6,298
172,3188,6,314
173,3197,6,330
174,3208,6,347
175,3209,6,381
176,3199,7,396
177,3158,7,414
178,3192,7,432
179,3200,7,447
180,3222,7,463
181,3218,7,481
182,3192,7,513
183,3222,7,530
184,3212,7,547
185,3205,7,565
186,3294,7,581
187,3297,7,598
188,3227,7,631
189,3247,7,648
190,3600,7,665
191,3271,7,681
192,3376,7,698
193,3264,7,715
194,3286,7,731
195,3274,7,764
196,3299,7,781
197,3319,7,797
198,3343,7,814
199,3385,7,830
200,3423,7,848
201,3528,7,864
202,3635,7,897
203,3727,7,913
204,3731,7,931
205,3604,7,948
206,3325,7,964
207,3128,7,981
208,3066,7,15
209,3012,7,30
210,3024,7,47
211,3064,7,63
212,3098,7,80
213,3136,7,97
214,3176,7,114
215,3174,7,147
216,3161,7,164
217,3163,7,182
218,3156,7,198
219,3182,7,215
220,3199,7,231
221,3193,7,265
222,3212,7,281
223,3203,7,299
224,3216,7,315
225,3235,7,331
226,3206,7,347
227,3264,7,364
228,3355,8,399
229,3319,8,415
230,3287,8,431
231,3304,8,447
232,3831,8,465
233,3646,8,482
234,3368,8,497
235,3336,8,531
236,3319,8,548
237,3327,8,565
238,3369,8,580
239,3388,8,596
240,3416,8,613
241,3456,8,646
242,3498,8,663
243,3559,8,680
244,3674,8,697
245,3768,8,714
246,3751,8,730
247,3609,8,748
248,3363,8,765
249,3198,8,798
250,3149,8,815
251,3141,8,832
252,3159,8,848
253,3197,8,865
254,3215,8,882
255,3215,8,914
256,3215,8,931
257,3228,8,947
258,3227,8,966
259,3231,8,981
260,3244,8,998
261,3258,8,15
262,3257,8,46
