ID,Datos ECG,Segundos,Milisegundos
0,33533,57,552
1,3359,57,599
2,3237,57,616
3,3228,57,633
4,3224,57,649
5,3223,57,667
6,3229,57,686
7,3242,57,700
8,3241,57,718
9,3255,58,740
10,3243,58,750
11,3234,58,772
12,3239,58,785
13,3234,58,806
14,3244,58,816
15,3244,58,839
16,3260,58,849
17,3270,58,866
18,3339,58,883
19,3384,58,901
20,3319,58,916
21,3256,58,946
22,3258,58,953
23,3243,58,970
24,3248,58,987
25,2994,58,4
26,4095,58,21
27,3411,58,38
28,3231,58,55
29,3158,58,70
30,3172,58,87
31,3194,58,106
32,3247,58,122
33,3281,58,153
34,3344,58,159
35,3387,58,177
36,3473,58,193
37,3560,58,210
38,3628,58,226
39,3661,58,243
40,3529,58,259
41,3337,58,276
42,3216,58,293
43,3168,58,309
44,3202,58,326
45,3177,58,344
46,3173,58,360
47,3210,58,377
48,3205,58,395
49,3234,58,410
50,3243,58,427
51,3242,58,444
52,3241,58,461
53,3231,58,477
54,3231,58,493
55,3248,58,510
56,3248,58,527
57,3271,58,543
58,3348,58,560
59,3407,58,577
60,3365,58,593
61,3280,58,610
62,3302,58,627
63,3302,58,645
64,3310,58,661
65,3081,58,677
66,4095,58,694
67,3982,58,710
68,3281,59,728
69,3263,59,744
70,3254,59,761
71,3273,59,776
72,3284,59,794
73,3319,59,811
74,3347,59,826
75,3402,59,843
76,3487,59,861
77,3577,59,876
78,3681,59,894
79,3705,59,910
80,3635,59,927
81,3468,59,944
82,3302,59,961
83,3252,59,977
84,3249,59,993
85,3239,59,10
86,3228,59,28
87,3242,59,44
88,3244,59,61
89,3260,59,77
90,3269,59,93
91,3271,59,112
92,3260,59,128
93,3274,59,143
94,3280,59,161
95,3289,59,178
96,3305,59,194
97,3320,59,210
98,3394,59,227
99,3370,59,243
100,3269,59,260
101,3246,59,278
102,3255,59,294
103,3245,59,309
104,3220,59,326
105,3332,59,344
106,4095,59,361
107,3238,59,377
108,3273,59,394
109,3263,59,410
110,3273,59,426
111,3279,59,444
112,3301,59,461
113,3335,59,476
114,3365,59,494
115,3420,59,511
116,3492,59,526
117,3576,59,543
118,3625,59,560
119,3636,59,577
120,3495,59,593
121,3317,59,610
122,3232,59,630
123,3214,59,643
124,3220,59,659
125,3227,59,679
126,3240,59,695
127,3232,59,711
128,3238,0,726
129,3251,0,745
130,3221,0,760
131,3238,0,777
132,3226,0,793
133,3222,0,809
134,3239,0,827
135,3265,0,844
136,3307,0,861
137,3378,0,877
138,3340,0,894
139,3261,0,911
140,3261,0,930
141,3266,0,944
142,3258,0,960
143,3206,0,976
144,3592,0,994
145,4095,0,10
146,3193,0,26
147,3241,0,43
148,3219,0,60
