ID,Datos ECG,Segundos,Milisegundos
0,36,33,351
1,3257,33,369
2,3581,33,384
3,3343,33,402
4,3612,33,418
5,3315,33,436
6,3288,33,450
7,3294,33,467
8,3307,33,484
9,3319,33,500
10,3356,33,517
11,3397,33,536
12,3462,33,551
13,3548,33,569
14,3637,34,589
15,3747,34,602
16,3764,34,618
17,3678,34,635
18,3459,34,651
19,3258,34,667
20,3167,34,685
21,3149,34,703
22,3142,34,718
23,3169,34,734
24,3187,34,752
25,3221,34,767
26,3245,34,785
27,3239,34,801
28,3247,34,819
29,3242,34,835
30,3247,34,850
31,3267,34,868
32,3278,34,884
33,3292,34,901
34,3283,34,918
35,3289,34,935
36,3297,34,952
37,3305,34,968
38,3312,34,985
39,3334,34,2
40,3341,34,18
41,3323,34,35
42,3371,34,51
43,3415,34,69
44,3463,34,85
45,3381,34,102
46,3347,34,118
47,3570,34,134
48,3428,34,151
49,3875,34,168
50,3380,34,184
51,3327,34,200
52,3334,34,218
53,3345,34,234
54,3368,34,251
55,3389,34,268
56,3428,34,286
57,3490,34,301
58,3543,34,317
59,3647,34,333
60,3740,34,352
61,3780,34,367
62,3731,34,384
63,3515,34,401
64,3281,34,417
65,3177,34,434
66,3148,34,451
67,3132,34,468
68,3159,34,486
69,3175,34,501
70,3205,34,520
71,3237,34,535
72,3249,34,553
73,3251,34,568
74,3249,35,585
75,3232,35,602
76,3236,35,619
77,3262,35,636
78,3256,35,651
79,3274,35,668
80,3276,35,684
81,3266,35,701
82,3298,35,718
83,3306,35,735
84,3307,35,750
85,3320,35,768
86,3323,35,784
87,3327,35,801
88,3365,35,818
89,3411,35,835
90,3456,35,852
91,3391,35,868
92,3348,35,885
93,3539,35,902
94,3555,35,918
95,4008,35,935
96,3433,35,952
97,3361,35,967
98,3367,35,985
99,3394,35,1
100,3405,35,18
101,3434,35,34
102,3464,35,52
103,3505,35,67
104,3574,35,84
105,3682,35,101
106,3795,35,117
107,3835,35,134
108,3782,35,151
109,3595,35,168
110,3360,35,185
111,3212,35,202
112,3177,35,218
113,3167,35,235
114,3173,35,252
115,3211,35,268
116,3232,35,284
117,3268,35,302
118,3282,35,319
119,3280,35,334
120,3283,35,352
121,3281,35,370
122,3285,35,385
123,3279,35,401
124,3299,35,418
125,3307,35,435
126,3313,35,452
127,3303,35,469
128,3301,35,484
129,3316,35,501
130,3331,35,519
131,3336,35,536
132,3337,35,551
133,3327,35,568
134,3346,36,587
135,3411,36,600
136,3435,36,620
137,3353,36,634
138,3327,36,651
139,3577,36,669
140,3362,36,684
141,3735,36,702
142,3373,36,717
143,3299,36,734
144,3313,36,753
145,3327,36,767
146,3352,36,784
147,3361,36,801
148,3390,36,819
149,3443,36,835
150,3515,36,852
151,3634,36,868
152,3755,36,886
153,3791,36,901
154,3705,36,917
155,3436,36,936
156,3165,36,951
157,3051,36,971
158,3021,36,984
159,2994,36,2
160,3031,36,18
161,3042,36,34
162,3071,36,51
163,3123,36,69
164,3120,36,85
165,3139,36,102
166,3125,36,119
167,3129,36,135
168,3124,36,151
169,3142,36,169
170,3153,36,185
171,3171,36,201
172,3170,36,218
173,3186,36,234
174,3182,36,251
175,3196,36,268
176,3208,36,288
177,3226,36,301
178,3248,36,318
179,3248,36,334
180,3320,36,352
181,3311,36,368
182,3359,36,385
183,3258,36,401
184,3263,36,420
185,3594,36,436
186,3335,36,452
187,3551,36,468
188,3301,36,486
189,3268,36,502
190,3295,36,519
191,3327,36,536
192,3343,36,553
193,3369,36,569
194,3390,37,584
195,3452,37,603
