Timestamp,ECG Data
4,1682
7,1663
11,1675
15,1710
19,1712
23,1715
27,1712
31,1719
35,1729
39,1714
43,1728
47,1731
51,1746
55,1739
59,1746
63,1771
67,1782
71,1761
75,1734
79,1742
83,1757
87,1769
91,1808
95,1830
99,1833
103,1811
107,1817
111,1830
115,1845
119,1869
123,1870
127,1882
131,1879
135,1877
139,1877
143,1906
147,1931
151,1935
155,1947
159,1961
163,1984
167,1985
171,2000
175,2013
179,2033
183,2034
187,2053
191,2060
195,2083
199,2101
203,2106
207,2107
211,2123
215,2132
219,2127
223,2115
227,2108
231,2079
235,2044
239,2000
243,1970
247,1936
251,1892
255,1851
259,1813
263,1798
267,1779
271,1766
275,1757
279,1762
283,1755
287,1735
291,1734
295,1743
299,1750
303,1734
307,1744
311,1745
315,1747
319,1755
323,1747
327,1755
331,1774
335,1770
339,1766
343,1783
347,1795
351,1792
355,1781
359,1781
363,1781
367,1791
371,1794
375,1794
379,1802
383,1815
387,1799
391,1793
395,1809
399,1821
403,1806
407,1799
411,1809
415,1815
419,1803
423,1807
427,1813
431,1830
435,1815
439,1808
443,1809
447,1823
451,1821
455,1814
459,1814
463,1836
467,1819
471,1811
475,1816
479,1837
483,1840
487,1839
491,1837
495,1843
499,1856
503,1854
507,1853
511,1857
515,1858
519,1870
523,1861
527,1869
531,1874
535,1873
539,1869
543,1872
547,1872
551,1883
555,1881
559,1884
563,1891
567,1898
571,1887
575,1893
579,1903
583,1895
587,1890
591,1898
595,1899
599,1904
603,1906
607,1901
611,1907
615,1911
619,1904
623,1905
627,1907
631,1920
635,1921
639,1915
643,1920
647,1936
651,1934
655,1934
659,1939
663,1949
667,1950
671,1938
675,1942
679,1949
683,1959
687,1949
691,1949
695,1953
699,1974
703,1987
707,2009
711,2039
715,2054
719,2061
723,2062
727,2064
731,2057
735,2043
739,2020
743,2011
747,2002
751,1985
755,1983
759,1987
763,2000
767,1997
771,1991
775,2000
779,1999
783,2000
787,1994
791,1989
795,2001
799,2013
803,2011
807,2003
811,1968
815,1902
819,1788
823,1769
827,2003
831,2554
835,3301
839,4095
843,4095
847,4095
851,3471
855,2673
859,2173
863,2053
867,2015
871,2016
875,2001
879,1991
883,1975
887,1953
891,1935
895,1926
899,1936
903,1934
907,1931
911,1936
915,1936
919,1946
923,1934
927,1941
931,1946
935,1951
939,1947
943,1959
947,1962
951,1964
955,1955
959,1966
963,1979
967,1986
971,1984
975,1991
979,1999
983,2006
987,2006
991,2007
995,2020
999,2034
1003,2033
1007,2029
1011,2045
1015,2066
1019,2064
1023,2073
1027,2087
1031,2107
1035,2106
1039,2109
1043,2121
1047,2141
1051,2151
1055,2160
1059,2176
1063,2199
1067,2221
1071,2227
1075,2240
1079,2256
1083,2270
1087,2272
1091,2277
1095,2282
1099,2294
1103,2293
1107,2288
1111,2283
1115,2278
1119,2242
1123,2202
1127,2171
1131,2135
1135,2100
1139,2043
1143,2006
1147,1977
1151,1954
1155,1926
1159,1910
1163,1900
1167,1891
1171,1878
1175,1879
1179,1879
1183,1877
1187,1862
1191,1859
1195,1878
1199,1875
1203,1873
1207,1873
1211,1873
1215,1883
1219,1872
1223,1880
1227,1895
1231,1891
1235,1898
1239,1891
1243,1898
1247,1903
1251,1904
1255,1899
1259,1899
1263,1904
1267,1902
1271,1891
1275,1899
1279,1907
1283,1920
