Timestamp,ECG Data
4,1872
7,1867
11,1872
15,1872
19,1873
23,1873
27,1872
31,1874
35,1878
39,1873
43,1872
47,1873
51,1873
55,1873
59,1862
63,1874
67,1879
71,1876
75,1870
79,1872
83,1877
87,1877
91,1872
95,1881
99,1883
103,1885
107,1872
111,1887
115,1883
119,1887
123,1878
127,1883
131,1890
135,1902
139,1895
143,1889
147,1895
151,1887
155,1891
159,1884
163,1893
167,1898
171,1893
175,1890
179,1900
183,1906
187,1903
191,1895
195,1902
199,1902
203,1906
207,1909
211,1907
215,1917
219,1921
223,1914
227,1904
231,1909
235,1924
239,1914
243,1910
247,1918
251,1927
255,1926
259,1919
263,1926
267,1938
271,1938
275,1927
279,1934
283,1945
287,1942
291,1941
295,1937
299,1950
303,1950
307,1947
311,1944
315,1951
319,1956
323,1950
327,1947
331,1963
335,1963
339,1963
343,1978
347,2000
351,2019
355,2023
359,2029
363,2032
367,2041
371,2033
375,2007
379,2000
383,1991
387,1982
391,1959
395,1945
399,1966
403,1963
407,1965
411,1961
415,1968
419,1968
423,1963
427,1952
431,1953
435,1961
439,1958
443,1952
447,1968
451,1969
455,1923
459,1815
463,1723
467,1773
471,2092
475,2673
479,3525
483,4095
487,4095
491,4095
495,3239
499,2529
503,2135
507,1978
511,1951
515,1951
519,1936
523,1913
527,1887
531,1871
535,1866
539,1847
543,1840
547,1841
551,1856
555,1853
559,1855
563,1858
567,1867
571,1871
575,1862
579,1863
583,1867
587,1906
591,1873
595,1879
599,1888
603,1899
607,1899
611,1903
615,1906
619,1911
623,1887
627,1942
631,1927
635,1936
639,1938
643,1937
647,1950
651,1966
655,1959
659,1969
663,1986
667,1982
671,1997
675,2005
679,2019
683,2032
687,2053
691,2040
695,2064
699,2091
703,2101
707,2116
711,2120
715,2129
719,2143
723,2146
727,2158
731,2167
735,2178
739,2182
743,2181
747,2190
751,2194
755,2185
759,2160
763,2134
767,2105
771,2071
775,2025
779,1997
783,1966
787,1933
791,1902
795,1879
799,1866
803,1857
807,1843
811,1837
815,1838
819,1837
823,1828
827,1819
831,1828
835,1840
839,1834
843,1831
847,1840
851,1851
855,1842
859,1835
863,1837
867,1859
871,1858
875,1846
879,1851
883,1853
887,1857
891,1859
895,1859
899,1863
903,1870
907,1870
911,1857
915,1867
919,1869
923,1872
927,1859
931,1861
935,1871
939,1866
943,1869
947,1869
951,1873
955,1866
959,1872
963,1872
967,1872
971,1873
975,1865
979,1874
983,1885
987,1888
991,1875
995,1879
999,1874
1003,1878
1007,1879
1011,1879
1015,1878
1019,1890
1023,1878
1027,1879
1031,1885
1035,1886
1039,1883
1043,1875
1047,1883
1051,1894
1055,1893
1059,1882
1063,1886
1067,1897
1071,1890
1075,1879
1079,1882
1083,1904
1087,1905
1091,1903
1095,1895
1099,1904
1103,1903
1107,1904
1111,1902
1115,1911
1119,1919
1123,1918
1127,1901
1131,1906
1135,1917
1139,1910
1143,1917
1147,1926
1151,1935
1155,1927
1159,1925
1163,1920
1167,1929
1171,1922
1175,1919
1179,1936
1183,1942
1187,1941
1191,1936
1195,1931
1199,1938
1203,1937
1207,1936
1211,1938
1215,1952
1219,1954
1223,1955
1227,1947
1231,1973
1235,2003
1239,2015
1243,2009
1247,2014
1251,2020
1255,2022
1259,2006
1263,1995
1267,1988
1271,1974
1275,1949
1279,1936
1283,1936
1287,1945
1291,1939
1295,1943
1299,1947
1303,1953
1307,1946
1311,1942
1315,1947
1319,1956
1323,1942
1327,1938
1331,1956
1335,1959
1339,1936
1343,1877
1347,1776
1351,1723
1355,1840
1359,2240
1363,2881
1367,3857
1371,4095
1375,4095
1379,3713
1383,2862
1387,2298
1391,2032
1395,1957
1399,1959
1403,1950
1407,1930
1411,1902
1415,1883
1419,1871
1423,1854
1427,1842
1431,1843
1435,1847
1439,1845
1443,1842
1447,1847
1451,1856
1455,1872
1459,1868
1463,1870
1467,1879
1471,1885
1475,1879
1479,1889
1483,1901
1487,1914
1491,1901
1495,1850
1499,1908
1503,1920
1507,1922
1511,1925
1515,1936
1519,1945
1523,1949
1527,1906
1531,1970
1535,1968
1539,1994
1543,1975
1547,1958
1551,2003
1555,2005
1559,2006
1563,2023
1567,2039
1571,2055
1575,2061
1579,2091
1583,2095
1587,2112
1591,2112
1595,2117
1599,2141
1603,2145
1607,2153
1611,2154
1615,2165
1619,2173
1623,2179
1627,2181
1631,2192
1635,2195
1639,2192
1643,2165
1647,2151
1651,2129
1655,2096
1659,2046
1663,2002
1667,1985
1671,1949
1675,1917
1679,1888
1683,1881
1687,1857
1691,1847
1695,1840
1699,1837
1703,1834
1707,1830
1711,1821
1715,1827
1719,1840
1723,1830
1727,1830
1731,1834
1735,1849
1739,1840
1743,1847
1747,1853
1751,1869
1755,1856
1759,1855
1763,1857
1767,1863
1771,1873
1775,1857
1779,1866
1783,1859
1787,1872
1791,1866
1795,1860
1799,1870
1803,1872
1807,1872
1811,1859
1815,1871
1819,1874
1823,1863
1827,1872
1831,1866
1835,1862
1839,1871
1843,1862
1847,1871
1851,1875
1855,1867
1859,1866
1863,1867
1867,1877
1871,1881
1875,1876
1879,1876
1883,1877
1887,1875
1891,1867
1895,1874
1899,1884
1903,1885
1907,1885
1911,1879
1915,1883
1919,1892
1923,1890
1927,1889
1931,1893
1935,1904
1939,1904
1943,1887
1947,1895
1951,1901
1955,1902
1959,1897
1963,1902
1967,1904
1971,1909
1975,1904
1979,1908
1983,1907
1987,1917
1991,1911
1995,1909
1999,1905
2003,1919
2007,1909
2011,1913
2015,1920
2019,1935
2023,1926
2027,1931
2031,1930
2035,1923
2039,1925
2043,1917
2047,1925
2051,1936
2055,1931
2059,1931
2063,1923
2067,1930
2071,1926
2075,1923
2079,1927
2083,1937
2087,1927
2091,1931
2095,1942
2099,1950
2103,1959
2107,1947
2111,1952
2115,1969
2119,1995
2123,2001
2127,2003
2131,2013
2135,2029
2139,2021
2143,2012
2147,1993
2151,1993
2155,1978
2159,1958
2163,1950
2167,1945
2171,1949
2175,1939
2179,1953
2183,1954
2187,1959
2191,1945
2195,1937
2199,1942
2203,1946
2207,1949
2211,1939
2215,1953
2219,1957
2223,1959
2227,1943
2231,1904
2235,1826
2239,1775
2243,1860
2247,2179
2251,2698
2255,3406
2259,4095
2263,3975
2267,3219
2271,2583
2275,2142
2279,1974
2283,1955
2287,1968
2291,1967
2295,1948
2299,1937
2303,1926
2307,1915
2311,1904
2315,1903
2319,1899
2323,1893
2327,1893
2331,1909
2335,1914
2339,1911
2343,1904
2347,1917
2351,1929
2355,1936
2359,1927
2363,1925
2367,1933
2371,1936
2375,1942
2379,1947
2383,1947
2387,1949
2391,1947
2395,1958
2399,1965
2403,1971
2407,1966
2411,1951
2415,1981
2419,2001
2423,2002
2427,1999
2431,2010
2435,2013
2439,2038
2443,2033
2447,2070
2451,2078
2455,2064
2459,2078
2463,2096
2467,2118
2471,2128
2475,2129
2479,2144
2483,2159
2487,2176
2491,2179
2495,2176
2499,2189
2503,2191
2507,2187
2511,2183
2515,2195
2519,2209
2523,2195
2527,2191
2531,2180
2535,2160
2539,2121
2543,2082
2547,2047
2551,2017
2555,1987
2559,1950
2563,1918
2567,1904
2571,1882
2575,1858
2579,1840
2583,1846
2587,1843
2591,1840
2595,1828
2599,1835
2603,1841
2607,1849
2611,1843
2615,1843
2619,1850
2623,1851
2627,1840
2631,1847
2635,1855
2639,1861
2643,1851
2647,1856
2651,1859
2655,1867
2659,1857
2663,1861
2667,1874
2671,1895
2675,1890
2679,1889
2683,1889
2687,1886
2691,1886
2695,1887
2699,1890
2703,1891
2707,1891
2711,1885
2715,1898
2719,1904
2723,1902
2727,1887
2731,1878
2735,1888
2739,1893
2743,1883
2747,1901
2751,1893
2755,1891
2759,1875
2763,1882
2767,1888
2771,1889
2775,1885
2779,1884
2783,1898
2787,1902
2791,1887
2795,1881
2799,1893
2803,1901
2807,1898
2811,1892
2815,1904
2819,1910
2823,1906
2827,1904
2831,1894
2835,1898
2839,1902
2843,1904
2847,1904
2851,1906
2855,1914
2859,1910
2863,1917
2867,1916
2871,1919
2875,1915
2879,1917
2883,1919
2887,1931
2891,1921
2895,1920
2899,1922
2903,1933
2907,1921
2911,1919
2915,1925
2919,1936
2923,1936
2927,1936
2931,1939
2935,1950
2939,1953
2943,1947
2947,1955
2951,1982
2955,1998
2959,2000
2963,2005
2967,2022
2971,2029
2975,2013
2979,2009
2983,2000
2987,1998
2991,1977
2995,1967
2999,1955
3003,1951
3007,1952
3011,1941
3015,1941
3019,1950
3023,1953
3027,1950
3031,1957
3035,1952
3039,1963
3043,1954
3047,1949
3051,1954
3055,1950
3059,1945
3063,1949
3067,1917
3071,1853
3075,1802
3079,1879
3083,2175
3087,2597
3091,3152
3095,3648
3099,3447
3103,2947
3107,2437
3111,2059
3115,1924
3119,1926
3123,1948
3127,1965
3131,1958
3135,1962
3139,1939
3143,1925
3147,1913
3151,1910
3155,1923
3159,1913
3163,1907
3167,1917
3171,1920
3175,1924
3179,1930
3183,1936
3187,1936
3191,1936
3195,1936
3199,1951
3203,1953
3207,1953
3211,1950
3215,1965
3219,1970
3223,1979
3227,1979
3231,1984
3235,1998
3239,1997
3243,1996
3247,1997
3251,2005
3255,2015
3259,2028
3263,2026
3267,2043
3271,2061
3275,2061
3279,2063
3283,2085
3287,2098
3291,2105
3295,2110
3299,2121
3303,2133
3307,2143
3311,2143
3315,2166
3319,2189
3323,2183
3327,2189
3331,2193
3335,2203
3339,2208
3343,2207
3347,2218
3351,2224
3355,2217
3359,2197
3363,2193
3367,2187
3371,2176
3375,2116
3379,2080
3383,2064
3387,2007
3391,1970
3395,1935
3399,1911
3403,1886
3407,1872
3411,1858
3415,1856
3419,1856
3423,1840
3427,1823
3431,1834
3435,1836
3439,1842
3443,1840
3447,1840
3451,1847
3455,1840
3459,1842
3463,1839
3467,1855
3471,1854
3475,1855
3479,1857
3483,1859
3487,1860
3491,1865
3495,1862
3499,1872
3503,1881
3507,1871
3511,1868
3515,1878
3519,1879
3523,1880
3527,1867
3531,1870
3535,1886
3539,1891
3543,1886
3547,1881
3551,1879
3555,1888
3559,1872
3563,1875
3567,1878
3571,1879
3575,1873
3579,1872
3583,1878
3587,1877
3591,1875
3595,1875
3599,1879
3603,1882
3607,1885
3611,1872
3615,1883
3619,1885
3623,1882
3627,1875
3631,1888
3635,1900
3639,1888
3643,1889
3647,1890
3651,1899
3655,1901
3659,1897
3663,1893
3667,1899
3671,1904
3675,1893
3679,1892
3683,1904
3687,1901
3691,1899
3695,1901
3699,1905
3703,1906
3707,1906
3711,1911
3715,1911
3719,1918
3723,1914
3727,1905
3731,1914
3735,1919
3739,1927
3743,1914
3747,1915
3751,1924
3755,1929
3759,1929
3763,1920
3767,1923
3771,1927
3775,1930
3779,1930
3783,1935
3787,1935
3791,1936
3795,1949
3799,1974
3803,1999
3807,1998
3811,1993
3815,2001
3819,2013
3823,2003
3827,1994
3831,1981
3835,1968
3839,1953
3843,1935
3847,1923
3851,1936
3855,1939
3859,1935
3863,1936
3867,1936
3871,1946
3875,1950
3879,1943
3883,1951
3887,1945
3891,1946
3895,1938
3899,1947
3903,1942
3907,1946
3911,1916
3915,1856
3919,1776
3923,1772
3927,1979
3931,2439
3935,3097
3939,4037
3943,4095
3947,3903
3951,3123
3955,2490
3959,2106
3963,1964
3967,1953
3971,1962
3975,1936
3979,1921
3983,1905
3987,1895
3991,1873
3995,1864
3999,1857
4003,1863
4007,1863
4011,1862
4015,1869
4019,1873
4023,1870
4027,1867
4031,1874
4035,1890
4039,1889
4043,1889
4047,1899
4051,1903
4055,1906
4059,1904
4063,1904
4067,1920
4071,1927
4075,1925
4079,1926
4083,1936
4087,1952
4091,1937
4095,1952
4099,1953
4103,1973
4107,1979
4111,1982
4115,1990
4119,2000
4123,2003
4127,2009
4131,2021
4135,2039
4139,2053
4143,2059
4147,2065
4151,2089
4155,2101
4159,2106
4163,2128
4167,2149
4171,2160
4175,2157
4179,2160
4183,2169
4187,2182
4191,2185
4195,2190
4199,2197
4203,2205
4207,2205
4211,2182
4215,2167
4219,2142
4223,2110
4227,2069
4231,2023
4235,1999
4239,1970
4243,1929
4247,1904
4251,1878
4255,1866
4259,1845
4263,1838
4267,1845
4271,1829
4275,1829
4279,1808
4283,1825
4287,1833
4291,1830
4295,1822
4299,1830
4303,1840
4307,1829
4311,1830
4315,1840
4319,1851
4323,1846
4327,1829
4331,1840
4335,1850
4339,1853
4343,1854
4347,1861
4351,1859
4355,1866
4359,1858
4363,1860
4367,1863
4371,1869
4375,1862
4379,1862
4383,1860
4387,1872
4391,1871
4395,1867
4399,1872
4403,1877
4407,1877
4411,1872
4415,1872
4419,1883
4423,1872
4427,1867
4431,1873
4435,1872
4439,1872
4443,1872
4447,1872
4451,1877
4455,1879
4459,1875
4463,1878
4467,1877
4471,1881
4475,1883
4479,1879
4483,1873
4487,1879
4491,1882
4495,1872
4499,1881
4503,1883
4507,1879
4511,1879
4515,1895
4519,1899
4523,1904
4527,1893
4531,1891
4535,1898
4539,1904
4543,1897
4547,1900
4551,1908
4555,1909
4559,1918
4563,1915
4567,1915
4571,1924
4575,1915
4579,1911
4583,1921
4587,1936
4591,1928
4595,1931
4599,1925
4603,1936
4607,1934
4611,1927
4615,1925
4619,1939
4623,1932
4627,1926
4631,1929
4635,1936
4639,1940
4643,1936
4647,1940
4651,1939
4655,1952
4659,1951
4663,1950
4667,1954
4671,1955
4675,1958
4679,1951
4683,1951
4687,1958
4691,1957
4695,1963
4699,1963
4703,1968
4707,1965
4711,1955
4715,1967
4719,1998
4723,2004
4727,2011
4731,2016
4735,2019
4739,2031
4743,2022
4747,2017
4751,2003
4755,2001
4759,1986
4763,1965
4767,1966
4771,1957
4775,1951
4779,1951
4783,1956
4787,1963
4791,1967
4795,1956
4799,1949
4803,1950
4807,1943
4811,1937
4815,1939
4819,1954
4823,1965
4827,1948
4831,1945
4835,1904
4839,1802
4843,1712
4847,1824
4851,2230
4855,2876
4859,3799
4863,4095
4867,4095
4871,4058
4875,3132
4879,2442
4883,2081
4887,1971
4891,1953
4895,1942
4899,1932
4903,1905
4907,1881
4911,1858
4915,1850
4919,1856
4923,1840
4927,1841
4931,1845
4935,1852
4939,1855
4943,1849
4947,1855
4951,1865
4955,1872
4959,1870
4963,1865
4967,1871
4971,1885
4975,1875
4979,1876
4983,1890
4987,1901
4991,1898
4995,1899
4999,1914
5003,1921
5007,1918
5011,1917
5015,1931
5019,1933
5023,1939
5027,1946
5031,1950
5035,1962
5039,1971
5043,1970
5047,1983
5051,1999
5055,2019
5059,2018
5063,2019
5067,2041
5071,2055
5075,2067
5079,2074
5083,2097
5087,2112
5091,2129
5095,2134
5099,2151
5103,2162
5107,2163
5111,2166
5115,2187
5119,2193
5123,2203
5127,2204
5131,2199
5135,2201
5139,2173
5143,2141
5147,2103
5151,2066
5155,2023
5159,1979
5163,1955
5167,1921
5171,1919
5175,1862
5179,1857
5183,1846
5187,1844
5191,1839
5195,1826
5199,1808
5203,1835
5207,1834
5211,1813
5215,1845
5219,1828
5223,1825
5227,1823
5231,1828
5235,1841
5239,1840
5243,1839
5247,1843
5251,1850
5255,1842
5259,1845
5263,1841
5267,1850
5271,1859
5275,1856
5279,1852
5283,1858
5287,1857
5291,1858
5295,1856
5299,1861
5303,1866
5307,1869
5311,1861
5315,1867
5319,1872
5323,1872
5327,1863
5331,1865
5335,1872
5339,1871
5343,1861
5347,1862
5351,1863
5355,1873
5359,1869
5363,1862
5367,1872
5371,1872
5375,1864
5379,1861
5383,1869
5387,1875
5391,1878
5395,1872
5399,1883
5403,1874
5407,1882
5411,1878
5415,1875
5419,1889
5423,1885
5427,1884
