Timestamp,ECG Data
4,1883
7,1890
11,1901
15,1899
19,1909
23,1904
27,1903
31,1904
35,1912
39,1923
43,1933
47,1937
51,1951
55,1961
59,1975
63,1969
67,1995
71,2000
75,2010
79,2017
83,2029
87,2042
91,2064
95,2079
99,2096
103,2119
107,2128
111,2131
115,2141
119,2160
123,2171
127,2177
131,2176
135,2186
139,2196
143,2191
147,2169
151,2151
155,2124
159,2086
163,2041
167,2007
171,1969
175,1942
179,1912
183,1888
187,1874
191,1872
195,1849
199,1837
203,1836
207,1835
211,1830
215,1829
219,1831
223,1839
227,1836
231,1840
235,1840
239,1853
243,1842
247,1843
251,1856
255,1872
259,1863
263,1856
267,1855
271,1867
275,1863
279,1857
283,1863
287,1870
291,1869
295,1857
299,1861
303,1872
307,1872
311,1872
315,1870
319,1874
323,1874
327,1872
331,1867
335,1878
339,1878
343,1876
347,1879
351,1885
355,1889
359,1888
363,1883
367,1886
371,1895
375,1894
379,1898
383,1898
387,1898
391,1904
395,1901
399,1894
403,1899
407,1906
411,1902
415,1902
419,1906
423,1904
427,1904
431,1902
435,1909
439,1917
443,1907
447,1904
451,1915
455,1919
459,1920
463,1911
467,1909
471,1917
475,1917
479,1911
483,1914
487,1921
491,1920
495,1923
499,1925
503,1929
507,1923
511,1921
515,1926
519,1927
523,1924
527,1921
531,1921
535,1935
539,1929
543,1931
547,1934
551,1936
555,1947
559,1947
563,1936
567,1954
571,1986
575,2002
579,2002
583,2000
587,2016
591,2026
595,2013
599,2003
603,1998
607,1984
611,1967
615,1941
619,1941
623,1943
627,1948
631,1947
635,1951
639,1950
643,1943
647,1938
651,1941
655,1947
659,1942
663,1938
667,1942
671,1955
675,1954
679,1916
683,1841
687,1792
691,1857
695,2153
699,2685
703,3427
707,4095
711,3996
715,3194
719,2523
723,2111
727,1947
731,1926
735,1946
739,1962
743,1949
747,1926
751,1906
755,1904
759,1891
763,1885
767,1887
771,1886
775,1883
779,1883
783,1887
787,1902
791,1907
795,1904
799,1907
803,1926
807,1927
811,1923
815,1929
819,1939
823,1946
827,1937
831,1939
835,1949
839,1968
843,1963
847,1963
851,1983
855,1983
859,1976
863,1959
867,1979
871,2015
875,2001
879,2043
883,2042
887,2042
891,2101
895,2032
899,2096
903,2115
907,2130
911,2137
915,2146
919,2154
923,2165
927,2171
931,2181
935,2193
939,2192
943,2191
947,2192
951,2209
955,2208
959,2193
963,2167
967,2145
971,2109
975,2064
979,2017
983,1991
987,1967
991,1930
995,1903
999,1879
1003,1872
1007,1860
1011,1845
1015,1840
1019,1846
1023,1853
1027,1853
1031,1844
1035,1845
1039,1843
1043,1840
1047,1843
1051,1849
1055,1855
1059,1855
1063,1851
1067,1862
1071,1873
1075,1879
1079,1875
1083,1872
1087,1872
1091,1872
1095,1873
1099,1879
1103,1886
1107,1883
1111,1885
1115,1885
1119,1887
1123,1883
1127,1877
1131,1879
1135,1884
1139,1889
1143,1885
1147,1885
1151,1890
1155,1895
1159,1893
1163,1887
1167,1891
1171,1891
1175,1893
1179,1883
1183,1891
1187,1893
1191,1891
1195,1891
1199,1898
1203,1903
1207,1898
1211,1889
1215,1886
1219,1891
1223,1898
1227,1894
1231,1895
1235,1897
1239,1904
1243,1898
1247,1893
1251,1904
1255,1907
1259,1908
1263,1907
1267,1904
1271,1907
1275,1904
1279,1895
1283,1904
1287,1917
1291,1908
1295,1907
1299,1914
1303,1926
1307,1927
1311,1921
1315,1920
1319,1946
1323,1973
1327,1978
1331,1983
1335,2000
1339,2001
1343,1991
1347,1983
1351,1981
1355,1973
1359,1966
1363,1936
1367,1924
1371,1921
1375,1931
1379,1930
1383,1936
1387,1936
