Timestamp,ECG Data
4,1867
7,1869
11,1856
15,1853
19,1863
23,1861
27,1862
31,1856
35,1872
39,1872
43,1870
47,1866
51,1882
55,1885
59,1879
63,1877
67,1887
71,1894
75,1893
79,1882
83,1882
87,1891
91,1890
95,1885
99,1881
103,1895
107,1903
111,1889
115,1883
119,1903
123,1904
127,1895
131,1885
135,1898
139,1906
143,1906
147,1893
151,1904
155,1907
159,1904
163,1903
167,1906
171,1915
175,1909
179,1904
183,1907
187,1917
191,1917
195,1904
199,1904
203,1917
207,1930
211,1906
215,1903
219,1917
223,1920
227,1914
231,1915
235,1923
239,1934
243,1927
247,1916
251,1924
255,1936
259,1935
263,1931
267,1936
271,1937
275,1940
279,1927
283,1931
287,1934
291,1943
295,1935
299,1937
303,1945
307,1941
311,1936
315,1936
319,1946
323,1949
327,1946
331,1938
335,1948
339,1952
343,1943
347,1938
351,1943
355,1958
359,1952
363,1947
367,1957
371,1968
375,1966
379,1951
383,1953
387,1965
391,1966
395,1960
399,1957
403,1968
407,1969
411,1967
415,1957
419,1965
423,1983
427,1974
431,1967
435,1969
439,1981
443,1974
447,1968
451,1975
455,1989
459,1982
463,1971
467,1973
471,1983
475,1982
479,1971
483,1980
487,1990
491,1990
495,1983
499,1984
503,1985
507,1988
511,1978
515,1979
519,1984
523,1990
527,1981
531,1979
535,1986
539,1990
543,1989
547,1987
551,1991
555,1997
559,1983
563,1984
567,1996
571,2023
575,2031
579,2043
583,2057
587,2067
591,2080
595,2060
599,2039
603,2032
607,2033
611,2011
615,1979
619,1978
623,1978
627,1968
631,1965
635,1986
639,1987
643,1983
647,1968
651,1977
655,1990
659,1983
663,1971
667,1979
671,2000
675,1999
679,1965
683,1890
687,1785
691,1723
695,1862
699,2337
703,3053
707,4095
711,4095
715,4095
719,4054
723,3120
727,2437
731,2084
735,1968
739,1963
743,1959
747,1931
751,1905
755,1894
759,1875
763,1853
767,1845
771,1850
775,1842
779,1843
783,1855
787,1862
791,1855
795,1846
799,1847
803,1859
807,1870
811,1865
815,1870
819,1881
823,1888
827,1882
831,1881
835,1888
839,1897
843,1892
847,1891
851,1905
855,1925
859,1920
863,1919
867,1925
871,1943
875,1954
879,1957
883,1959
887,1973
891,1979
895,1984
899,1991
903,2013
907,2031
911,2033
915,2038
919,2064
923,2091
927,2096
931,2109
935,2128
939,2148
943,2160
947,2160
951,2177
955,2192
959,2201
963,2193
967,2210
971,2231
975,2226
979,2201
983,2191
987,2168
991,2138
995,2086
999,2042
1003,2003
1007,1966
1011,1921
1015,1882
1019,1860
1023,1850
1027,1825
1031,1808
1035,1806
1039,1808
1043,1797
1047,1789
1051,1798
1055,1807
1059,1806
1063,1799
1067,1808
1071,1817
1075,1811
1079,1808
1083,1813
1087,1822
1091,1833
1095,1817
1099,1818
1103,1825
1107,1826
1111,1820
1115,1813
1119,1823
1123,1840
1127,1835
1131,1822
1135,1824
1139,1840
1143,1839
1147,1823
1151,1840
1155,1844
1159,1841
1163,1837
