Timestamp,ECG Data
4,1968
7,2001
11,2029
15,2025
19,2028
23,2055
27,2067
31,2061
35,2037
39,2030
43,2022
47,2011
51,1995
55,1986
59,1985
63,1995
67,1987
71,1994
75,1997
79,2001
83,1994
87,1989
91,1990
95,1987
99,1987
103,1999
107,2009
111,2017
115,1969
119,1870
123,1791
127,1842
131,2195
135,2864
139,3941
143,4095
147,4095
151,4095
155,3292
159,2530
163,2121
167,2000
171,1999
175,2025
179,2000
183,1973
187,1954
191,1942
195,1932
199,1917
203,1925
207,1931
211,1927
215,1918
219,1926
223,1940
227,1949
231,1946
235,1947
239,1954
243,1968
247,1955
251,1957
255,1975
259,1985
263,1973
267,1977
271,1996
275,2016
279,2017
283,2006
287,2013
291,2035
295,2043
299,2033
303,2039
307,2065
311,2074
315,2072
319,2085
323,2112
327,2122
331,2123
335,2134
339,2160
343,2177
347,2183
351,2198
355,2224
359,2235
363,2234
367,2227
371,2241
375,2262
379,2267
383,2273
387,2288
391,2298
395,2287
399,2256
403,2235
407,2212
411,2177
415,2127
419,2088
423,2063
427,2029
431,1986
435,1966
439,1966
443,1963
447,1966
451,1949
455,1947
459,1962
463,1939
467,1932
471,1950
475,1968
479,1969
483,1959
487,1971
491,1989
495,1980
499,1965
503,1968
507,1984
511,1985
515,1977
519,1983
523,2001
527,2006
531,1997
535,1984
539,1991
543,2007
547,2001
551,2000
555,2007
559,2017
563,2005
567,2006
571,2000
575,2007
579,2009
583,2019
587,2023
591,2022
595,2002
599,1989
603,2000
607,2019
611,2016
615,1991
619,1989
623,2007
627,2027
631,2023
635,2011
639,2022
643,2029
647,2024
651,2012
655,2033
659,2038
663,2030
667,2019
671,2020
675,2023
679,2033
683,2034
687,2037
691,2071
695,2087
699,2099
703,2098
707,2096
711,2081
715,2059
719,2047
723,2057
727,2062
731,2055
735,2027
739,2032
743,2038
747,2037
751,2037
755,2053
759,2063
763,2061
767,2043
771,2032
775,2054
779,2053
783,2039
787,2040
791,2045
795,1981
799,1893
803,1887
807,2065
811,2446
815,2986
819,3660
823,3821
827,3312
831,2746
835,2295
839,2095
843,2054
847,2064
851,2073
855,2075
859,2064
863,2035
867,2016
871,2030
875,2033
879,2001
883,2005
887,2025
891,2039
895,2031
899,2000
903,2035
907,2074
911,2046
915,2026
919,2060
923,2076
927,2093
931,2074
935,2071
939,2085
943,2096
947,2080
951,2083
955,2109
959,2128
963,2130
967,2114
971,2132
975,2145
979,2140
983,2145
987,2157
991,2175
995,2176
999,2173
1003,2190
1007,2210
1011,2224
1015,2224
1019,2251
1023,2270
1027,2276
1031,2258
1035,2279
1039,2295
1043,2294
1047,2301
1051,2302
1055,2314
1059,2322
1063,2313
1067,2295
1071,2286
1075,2285
1079,2256
1083,2190
1087,2151
1091,2145
1095,2127
1099,2105
1103,2071
1107,2042
1111,2018
1115,2017
1119,2012
1123,2015
1127,2013
1131,2000
1135,2003
1139,2027
1143,2021
1147,2023
1151,2006
1155,2009
1159,2019
1163,2022
1167,2010
1171,2018
1175,2034
1179,2045
1183,2026
1187,2032
1191,2064
1195,2064
1199,2023
1203,2032
1207,2073
1211,2077
1215,2062
1219,2057
1223,2064
1227,2075
1231,2065
1235,2069
1239,2102
1243,2113
1247,2082
1251,2083
1255,2096
1259,2103
1263,2096
1267,2094
1271,2094
1275,2108
1279,2110
1283,2096
1287,2087
1291,2096
1295,2102
1299,2109
1303,2123
1307,2128
1311,2156
1315,2163
1319,2171
1323,2167
1327,2153
1331,2133
1335,2128
1339,2125
1343,2128
1347,2108
1351,2086
1355,2096
1359,2104
1363,2112
1367,2096
1371,2099
1375,2107
1379,2103
1383,2098
1387,2096
1391,2098
1395,2095
1399,2095
1403,2080
1407,2093
1411,2069
1415,2027
1419,1994
1423,2042
1427,2251
1431,2559
1435,2963
1439,3125
1443,2893
1447,2521
1451,2223
1455,2079
1459,2062
1463,2074
1467,2099
1471,2111
1475,2107
1479,2112
1483,2091
1487,2067
1491,2080
1495,2077
1499,2071
1503,2067
1507,2086
1511,2086
1515,2082
1519,2085
1523,2097
1527,2099
1531,2105
1535,2103
1539,2112
1543,2115
1547,2119
1551,2128
1555,2133
1559,2159
1563,2162
1567,2157
1571,2119
1575,2109
1579,2113
1583,2109
1587,2133
1591,2154
1595,2151
1599,2151
1603,2162
1607,2176
1611,2186
1615,2175
1619,2176
1623,2192
1627,2214
1631,2206
1635,2213
1639,2218
1643,2233
1647,2225
1651,2223
1655,2227
1659,2224
1663,2215
1667,2208
1671,2221
1675,2215
1679,2202
1683,2182
1687,2169
1691,2149
1695,2119
1699,2096
1703,2061
1707,2009
1711,1985
1715,1974
1719,1968
1723,1944
1727,1933
1731,1905
1735,1902
1739,1920
1743,1917
1747,1904
1751,1906
1755,1920
1759,1917
1763,1902
1767,1906
1771,1920
1775,1927
1779,1909
1783,1946
1787,1908
1791,1873
1795,1901
1799,1893
1803,1904
1807,1910
1811,1901
1815,1888
1819,1923
1823,1890
1827,1888
1831,1886
1835,1887
1839,1890
1843,1905
1847,1901
1851,1881
1855,1877
1859,1875
1863,1874
1867,1872
1871,1883
1875,1887
1879,1872
1883,1856
1887,1859
1891,1883
1895,1892
1899,1889
1903,1914
1907,1926
1911,1944
1915,1922
1919,1904
1923,1901
1927,1900
1931,1887
1935,1872
1939,1871
1943,1868
1947,1862
1951,1866
1955,1878
1959,1872
1963,1859
1967,1853
1971,1867
1975,1870
1979,1862
1983,1846
1987,1850
1991,1862
1995,1862
1999,1846
2003,1813
2007,1785
2011,1769
2015,1808
2019,1984
2023,2267
2027,2608
2031,2709
2035,2502
2039,2208
2043,1936
2047,1769
2051,1733
2055,1758
2059,1788
2063,1809
2067,1802
2071,1797
2075,1796
2079,1776
2083,1763
2087,1773
2091,1779
2095,1781
2099,1771
2103,1763
2107,1776
2111,1782
2115,1775
2119,1776
2123,1786
2127,1798
2131,1788
2135,1785
2139,1794
2143,1805
2147,1799
2151,1794
2155,1806
2159,1811
2163,1812
2167,1810
2171,1830
2175,1841
2179,1849
2183,1843
2187,1846
2191,1861
2195,1867
2199,1855
2203,1865
2207,1887
2211,1897
2215,1891
2219,1885
2223,1905
2227,1914
2231,1916
2235,1918
2239,1935
2243,1937
2247,1932
2251,1919
2255,1935
2259,1953
2263,1950
2267,1941
2271,1941
2275,1936
2279,1911
2283,1874
2287,1847
2291,1821
2295,1782
2299,1743
2303,1712
2307,1699
2311,1672
2315,1648
2319,1647
2323,1655
2327,1650
2331,1638
2335,1634
2339,1648
2343,1653
2347,1647
2351,1636
2355,1645
2359,1658
2363,1650
2367,1658
2371,1667
2375,1677
2379,1673
2383,1668
2387,1678
2391,1687
2395,1680
2399,1671
2403,1680
2407,1689
2411,1692
2415,1680
2419,1678
2423,1684
2427,1691
2431,1680
2435,1687
2439,1699
2443,1709
2447,1695
2451,1683
2455,1689
2459,1697
2463,1696
2467,1695
2471,1684
2475,1691
2479,1686
2483,1683
2487,1693
2491,1715
2495,1722
2499,1711
2503,1712
2507,1713
2511,1701
2515,1703
2519,1717
2523,1745
2527,1744
2531,1723
2535,1712
2539,1714
2543,1712
2547,1702
2551,1706
2555,1712
2559,1714
2563,1709
2567,1695
2571,1703
2575,1721
2579,1717
2583,1713
2587,1715
2591,1703
2595,1636
2599,1535
2603,1554
2607,1803
2611,2270
2615,2842
2619,3466
2623,3571
2627,3136
2631,2601
2635,2119
2639,1850
2643,1770
2647,1745
2651,1730
2655,1725
2659,1712
2663,1682
2667,1661
2671,1664
2675,1678
2679,1666
2683,1658
2687,1670
2691,1671
2695,1673
2699,1649
2703,1674
2707,1680
2711,1690
2715,1680
2719,1690
2723,1707
2727,1718
2731,1712
2735,1714
2739,1729
2743,1719
2747,1728
2751,1728
2755,1746
2759,1753
2763,1753
2767,1744
2771,1760
2775,1771
2779,1774
2783,1771
