Timestamp,ECG Data
4,1951
7,1923
11,1893
15,1870
19,1861
23,1859
27,1846
31,1839
35,1833
39,1840
43,1840
47,1837
51,1833
55,1856
59,1856
63,1846
67,1851
71,1858
75,1859
79,1855
83,1852
87,1860
91,1863
95,1867
99,1856
103,1865
107,1869
111,1873
115,1879
119,1885
123,1889
127,1885
131,1879
135,1881
139,1893
143,1893
147,1878
151,1879
155,1890
159,1898
163,1892
167,1891
171,1900
175,1904
179,1902
183,1895
187,1902
191,1904
195,1895
199,1897
203,1904
207,1905
211,1905
215,1899
219,1907
223,1914
227,1914
231,1907
235,1917
239,1925
243,1924
247,1914
251,1921
255,1931
259,1928
263,1914
267,1907
271,1920
275,1925
279,1936
283,1963
287,2000
291,2021
295,2002
299,1984
303,1968
307,1968
311,1953
315,1937
319,1927
323,1924
327,1919
331,1920
335,1920
339,1933
343,1926
347,1920
351,1919
355,1936
359,1935
363,1927
367,1926
371,1934
375,1938
379,1926
383,1855
387,1761
391,1731
395,1919
399,2437
403,3203
407,4095
411,4095
415,4095
419,3315
423,2583
427,2130
431,1961
435,1937
439,1946
443,1936
447,1910
451,1887
455,1872
459,1860
463,1850
467,1845
471,1858
475,1858
479,1852
483,1847
487,1854
491,1865
495,1866
499,1863
503,1877
507,1882
511,1875
515,1872
519,1877
523,1894
527,1895
531,1894
535,1897
539,1910
543,1918
547,1910
551,1916
555,1923
559,1930
563,1920
567,1930
571,1939
575,1947
579,1948
583,1958
587,1968
591,1981
595,1985
599,1995
603,2003
607,2027
611,2031
615,2032
619,2047
623,2064
627,2068
631,2069
635,2079
639,2096
643,2101
647,2099
651,2107
655,2119
659,2119
663,2101
667,2078
671,2061
675,2002
679,1984
683,1940
687,1953
691,1969
695,1887
699,1855
703,1853
707,1874
711,1830
715,1838
719,1825
723,1808
727,1845
731,1866
735,1847
739,1856
743,1846
747,1842
751,1845
755,1856
759,1859
763,1851
767,1852
771,1860
775,1868
779,1862
783,1859
787,1870
791,1874
795,1868
799,1865
803,1872
807,1875
811,1875
815,1869
819,1882
823,1889
827,1883
831,1883
835,1885
839,1887
843,1889
847,1882
851,1897
855,1897
859,1890
863,1884
867,1879
871,1888
875,1898
879,1894
883,1890
887,1895
891,1903
895,1903
899,1903
903,1905
907,1906
911,1898
915,1902
919,1904
923,1918
927,1914
931,1913
935,1909
939,1922
943,1918
947,1910
951,1917
955,1921
959,1916
963,1904
967,1904
971,1909
975,1933
979,1948
983,1983
987,2012
991,2013
995,1989
999,1970
1003,1964
1007,1971
1011,1953
1015,1936
1019,1931
1023,1935
1027,1936
1031,1930
1035,1934
1039,1939
1043,1943
1047,1937
1051,1931
1055,1942
1059,1943
1063,1936
1067,1933
1071,1936
1075,1939
1079,1889
1083,1783
1087,1718
1091,1834
1095,2278
1099,2999
1103,4095
1107,4095
1111,4095
1115,3855
1119,2915
1123,2294
1127,2007
1131,1936
1135,1940
1139,1949
1143,1930
1147,1894
1151,1875
1155,1867
1159,1857
1163,1842
1167,1841
1171,1851
1175,1855
1179,1851
1183,1851
1187,1860
1191,1872
1195,1863
1199,1858
1203,1873
1207,1882
1211,1880
1215,1876
1219,1891
1223,1899
1227,1905
1231,1899
1235,1911
1239,1921
1243,1922
1247,1914
1251,1919
1255,1931
1259,1935
1263,1936
1267,1947
1271,1956
1275,1969
1279,1968
1283,1971
1287,1993
1291,1999
1295,2000
1299,2007
1303,2019
1307,2039
1311,2042
1315,2044
1319,2064
1323,2080
1327,2083
1331,2089
1335,2100
1339,2112
1343,2117
1347,2114
1351,2122
1355,2132
1359,2128
1363,2111
1367,2086
1371,2061
1375,2030
1379,1984
1383,1945
1387,1919
1391,1892
1395,1865
1399,1844
1403,1840
1407,1840
1411,1835
1415,1818
1419,1833
1423,1833
1427,1829
1431,1824
1435,1824
1439,1841
1443,1841
1447,1842
1451,1849
1455,1856
1459,1855
1463,1854
1467,1850
1471,1859
1475,1869
1479,1861
1483,1860
1487,1869
1491,1875
1495,1875
1499,1872
1503,1874
1507,1885
1511,1875
1515,1872
1519,1875
1523,1882
1527,1884
1531,1877
1535,1878
1539,1890
1543,1883
1547,1879
1551,1889
1555,1898
1559,1898
1563,1884
1567,1893
1571,1900
1575,1904
1579,1903
1583,1900
1587,1905
1591,1909
1595,1895
1599,1904
1603,1899
1607,1915
1611,1914
1615,1901
1619,1907
1623,1913
1627,1917
1631,1872
1635,1906
1639,1895
1643,1940
1647,1939
1651,1907
1655,1919
1659,1929
1663,1918
1667,1910
1671,1915
1675,1934
1679,1943
1683,1971
1687,2014
1691,2018
1695,2009
1699,1985
1703,1975
1707,1975
1711,1968
1715,1942
1719,1937
1723,1936
1727,1936
1731,1925
1735,1935
1739,1938
1743,1936
1747,1931
1751,1931
1755,1937
1759,1946
1763,1937
1767,1936
1771,1952
1775,1948
1779,1931
1783,1871
1787,1775
1791,1729
1795,1898
1799,2397
1803,3184
1807,4095
1811,4095
1815,4095
1819,3601
1823,2735
1827,2192
1831,1973
1835,1937
1839,1955
1843,1943
1847,1920
1851,1892
1855,1877
1859,1866
1863,1851
1867,1850
