Timestamp,ECG Data
4,1987
7,1987
11,1989
15,1982
19,1959
23,1941
27,1949
31,1951
35,1942
39,1927
43,1936
47,1946
51,1952
55,1949
59,1946
63,1947
67,1946
71,1939
75,1952
79,1961
83,1946
87,1946
91,1936
95,1886
99,1808
103,1799
107,1970
111,2343
115,2837
119,3463
123,3776
127,3359
131,2813
135,2294
139,1995
143,1916
147,1932
151,1947
155,1955
159,1937
163,1933
167,1923
171,1914
175,1907
179,1916
183,1917
187,1907
191,1914
195,1915
199,1925
203,1925
207,1918
211,1931
215,1936
219,1933
223,1941
227,1943
231,1936
235,1941
239,1947
243,1967
247,1965
251,1963
255,1968
259,1968
263,1987
267,1987
271,1994
275,2002
279,2007
283,2010
287,2014
291,2033
295,2033
299,2055
303,2043
307,2061
311,2081
315,2096
319,2096
323,2109
327,2129
331,2143
335,2141
339,2155
343,2177
347,2190
351,2195
355,2203
359,2213
363,2213
367,2214
371,2220
375,2233
379,2231
383,2239
387,2222
391,2204
395,2193
399,2176
403,2133
407,2096
411,2055
415,2018
419,1975
423,1943
427,1919
431,1898
435,1872
439,1862
443,1856
447,1849
451,1841
455,1837
459,1837
463,1840
467,1843
471,1840
475,1840
479,1844
483,1840
487,1837
491,1844
495,1852
499,1840
503,1835
507,1852
511,1858
515,1859
519,1856
523,1863
527,1874
531,1872
535,1866
539,1863
543,1877
547,1874
551,1870
555,1865
559,1872
563,1882
567,1877
571,1872
575,1876
579,1894
583,1879
587,1873
591,1875
595,1876
599,1878
603,1879
607,1873
611,1873
615,1874
619,1870
623,1878
627,1891
631,1891
635,1886
639,1876
643,1882
647,1888
651,1879
655,1886
659,1885
663,1890
667,1884
671,1885
675,1890
679,1892
683,1893
687,1885
691,1891
695,1889
699,1897
703,1904
707,1923
711,1946
715,1961
719,1955
723,1968
727,1973
731,1973
735,1955
739,1947
743,1934
747,1922
751,1904
755,1898
759,1901
763,1913
767,1905
771,1891
775,1902
779,1904
783,1903
787,1901
791,1904
795,1904
799,1914
803,1900
807,1906
811,1917
815,1910
819,1909
823,1904
827,1887
831,1817
835,1743
839,1781
843,2032
847,2442
851,2988
855,3635
859,3751
863,3255
867,2689
871,2190
875,1936
879,1887
883,1904
887,1919
891,1923
895,1910
899,1895
903,1881
907,1873
911,1879
915,1872
919,1865
923,1863
927,1868
931,1871
935,1876
939,1881
943,1884
947,1894
951,1899
955,1899
959,1906
963,1909
967,1898
971,1904
975,1914
979,1921
983,1924
987,1933
991,1936
995,1942
